Lake,name_display,island_oikos,in_oikos_core_19,in_focus_23,match_status,group,period,Year,n_taxa_mean,n_taxa_max,n_seasons
Caldeirao,Caldeirão,Corvo,True,True,matched,diatom,2025,2025,22.67,25,3
Caldeirao,Caldeirão,Corvo,True,True,matched,diatom,historical,2006,31.33,39,3
Caldeirao,Caldeirão,Corvo,True,True,matched,diatom,historical,2008,29.0,29,2
Caldeirao,Caldeirão,Corvo,True,True,matched,diatom,historical,2009,25.0,26,2
Caldeirao,Caldeirão,Corvo,True,True,matched,diatom,historical,2010,54.0,54,1
Caldeirao,Caldeirão,Corvo,True,True,matched,diatom,historical,2011,36.25,40,4
Caldeirao,Caldeirão,Corvo,True,True,matched,diatom,historical,2012,33.5,42,4
Caldeirao,Caldeirão,Corvo,True,True,matched,macro,2018,2018,5.0,5,1
Caldeirao,Caldeirão,Corvo,True,True,matched,macro,2024,2024,7.75,9,4
Caldeirao,Caldeirão,Corvo,True,True,matched,macro,2025,2025,5.67,6,3
Caldeirao,Caldeirão,Corvo,True,True,matched,macro,historical,2006,6.0,8,2
Caldeirao,Caldeirão,Corvo,True,True,matched,macro,historical,2008,4.0,6,2
Caldeirao,Caldeirão,Corvo,True,True,matched,macro,historical,2009,3.5,4,2
Caldeirao,Caldeirão,Corvo,True,True,matched,macro,historical,2010,6.0,7,2
Caldeirao,Caldeirão,Corvo,True,True,matched,macro,historical,2011,8.25,11,4
Caldeirao,Caldeirão,Corvo,True,True,matched,macro,historical,2012,9.0,11,4
Caldeirao,Caldeirão,Corvo,True,True,matched,macrophyte,historical,2008,13.0,13,1
Caldeirao,Caldeirão,Corvo,True,True,matched,macrophyte,historical,2010,2.0,2,1
Caldeirao,Caldeirão,Corvo,True,True,matched,macrophyte,historical,2011,7.0,7,1
Caldeirao,Caldeirão,Corvo,True,True,matched,macrophyte,historical,2012,12.0,12,1
Caldeirao,Caldeirão,Corvo,True,True,matched,phyto,2018,2018,28.5,32,4
Caldeirao,Caldeirão,Corvo,True,True,matched,phyto,2024,2024,17.5,25,4
Caldeirao,Caldeirão,Corvo,True,True,matched,phyto,2025,2025,10.33,12,3
Caldeirao,Caldeirão,Corvo,True,True,matched,phyto,historical,2006,11.67,15,3
Caldeirao,Caldeirão,Corvo,True,True,matched,phyto,historical,2008,25.0,27,2
Caldeirao,Caldeirão,Corvo,True,True,matched,phyto,historical,2009,20.5,22,2
Caldeirao,Caldeirão,Corvo,True,True,matched,phyto,historical,2010,23.0,26,2
