Lake,name_display,island_oikos,in_oikos_core_19,group,Year,Season,present
Azul,Azul,Sao Miguel,TRUE,Phyto,2014,Winter,FALSE
Azul,Azul,Sao Miguel,TRUE,Phyto,2015,Autumn,FALSE
Azul,Azul,Sao Miguel,TRUE,Phyto,2015,Spring,FALSE
Azul,Azul,Sao Miguel,TRUE,Phyto,2015,Summer,FALSE
Azul,Azul,Sao Miguel,TRUE,Phyto,2015,Winter,FALSE
Azul,Azul,Sao Miguel,TRUE,Phyto,2016,Autumn,FALSE
Azul,Azul,Sao Miguel,TRUE,Phyto,2016,Spring,FALSE
Azul,Azul,Sao Miguel,TRUE,Phyto,2016,Summer,FALSE
Azul,Azul,Sao Miguel,TRUE,Phyto,2016,Winter,FALSE
Azul,Azul,Sao Miguel,TRUE,Phyto,2017,Autumn,FALSE
Azul,Azul,Sao Miguel,TRUE,Phyto,2017,Spring,FALSE
Azul,Azul,Sao Miguel,TRUE,Phyto,2017,Summer,FALSE
Azul,Azul,Sao Miguel,TRUE,Phyto,2017,Winter,FALSE
Azul,Azul,Sao Miguel,TRUE,Phyto,2018,Autumn,TRUE
Azul,Azul,Sao Miguel,TRUE,Phyto,2018,Spring,TRUE
Azul,Azul,Sao Miguel,TRUE,Phyto,2018,Summer,TRUE
Azul,Azul,Sao Miguel,TRUE,Phyto,2018,Winter,TRUE
Azul,Azul,Sao Miguel,TRUE,Phyto,2019,Autumn,FALSE
Azul,Azul,Sao Miguel,TRUE,Phyto,2019,Spring,FALSE
Azul,Azul,Sao Miguel,TRUE,Phyto,2019,Summer,FALSE
Azul,Azul,Sao Miguel,TRUE,Phyto,2019,Winter,FALSE
Azul,Azul,Sao Miguel,TRUE,Phyto,2020,Autumn,FALSE
Azul,Azul,Sao Miguel,TRUE,Phyto,2020,Spring,FALSE
Azul,Azul,Sao Miguel,TRUE,Phyto,2020,Summer,FALSE
Azul,Azul,Sao Miguel,TRUE,Phyto,2020,Winter,FALSE
Azul,Azul,Sao Miguel,TRUE,Phyto,2021,Autumn,FALSE
Azul,Azul,Sao Miguel,TRUE,Phyto,2021,Spring,FALSE
Azul,Azul,Sao Miguel,TRUE,Phyto,2021,Summer,FALSE
Azul,Azul,Sao Miguel,TRUE,Phyto,2021,Winter,FALSE
Azul,Azul,Sao Miguel,TRUE,Phyto,2022,Autumn,FALSE
Azul,Azul,Sao Miguel,TRUE,Phyto,2022,Spring,FALSE
Azul,Azul,Sao Miguel,TRUE,Phyto,2022,Summer,FALSE
Azul,Azul,Sao Miguel,TRUE,Phyto,2022,Winter,FALSE
Azul,Azul,Sao Miguel,TRUE,Phyto,2023,Autumn,FALSE
Azul,Azul,Sao Miguel,TRUE,Phyto,2023,Spring,FALSE
Azul,Azul,Sao Miguel,TRUE,Phyto,2023,Summer,FALSE
Azul,Azul,Sao Miguel,TRUE,Phyto,2023,Winter,FALSE
Azul,Azul,Sao Miguel,TRUE,Phyto,2024,Autumn,TRUE
Azul,Azul,Sao Miguel,TRUE,Phyto,2024,Spring,TRUE
Azul,Azul,Sao Miguel,TRUE,Phyto,2024,Summer,TRUE
Azul,Azul,Sao Miguel,TRUE,Phyto,2024,Winter,TRUE
Azul,Azul,Sao Miguel,TRUE,Phyto,2025,Autumn,TRUE
Azul,Azul,Sao Miguel,TRUE,Phyto,2025,Spring,TRUE
Azul,Azul,Sao Miguel,TRUE,Phyto,2025,Summer,TRUE
Azul,Azul,Sao Miguel,TRUE,Phyto,2025,Winter,TRUE
Azul,Azul,Sao Miguel,TRUE,Zoo,2003,Autumn,FALSE
